Title,Location,Details,Size,Timescale,Features,Quote,Quote Attribution
21 Charlemont,Dublin 2,"Rohan Holdings is a leader in the complex business of developing prestige offices, high quality business parks and industrial premises. With over 40 years’ experience in land acquisition, design, planning, construction and tenant fit out, Rohan Holdings have a respected proven track record of delivering projects on time, within budget and to their clients’ satisfaction.

Working in the shell of the newly completed 21 Charlemont Place Office Block, our brief was to take the “Grey Box” finish to full Landlord CAT-A standard to LEED Gold and A3 BER Rating.

Set against an aggressive time line driven by a signed single tenancy lease for the whole building, works included complete raised floor installation, soft floor finishes, partitions and ceilings, joinery and decorations. Our brief also extended the the complete M&E installations to include A/C, lighting, protective services, basement and roof plant, louvres & screening with full testing and commissioning.","3,420m2","2-week Pre-construction
10 weeks on-site","Cat A Office Fitout
Extensive Green Roof
LEED Gold Certification and A3 BER
Balconies and Feature Roof Terrace",,
Private Client, Dublin 4,"We are delighted to showcase the successful completion of a new 15k sq.ft. Corporate HQ office in Dublin’s City Centre for a Private Sonica Client, the results of which are absolutely stunning.

Our brief took the project from an existing Landlord CAT-A finish (which was fully stripped out) to their fitted out Corporate HQ in 8 weeks from commencement.

Works were undertaken in a multi-tenanted office development with continual intensive daily co-ordination with the sitting Building Management Team. Added to the time sensitive nature of the project was the Client’s “not-to-exceed” occupation date which was a key consideration in our aggressive construction programme.

Due to the high degree of cellularisation to form the various offices, meeting spaces and executive boardrooms, the mechanical scope required considerable addition to the primary Landlord ventilation provisions via. intensive upgrades, modelling and building control integration.

The project scope also included a large specialist joinery component, extensive meeting spaces with feature exposed ceilings and feature lighting throughout, bespoke reception area, feature hard and soft floorings, substantial active IT solution, a fully redundant IT backbone install to main comms room, high-end Corporate level access control and security install, A/V delivery and a full furniture installation across the complete floor plate.","1,500m2","1-week Pre-construction
7 weeks on-site","Design and VE development to suit budget parameters
International collaboration with multiple project stakeholders
Co-ordination with local Team on relocation deliverables
Comms room commissioned and complete 2 weeks before handover to allow Client IT access.
Live building environment
Full M&E data & VC co-ordination",,
Demonware,"Parnell Street
Dublin1","Demonware are an Irish software development company specialising in creating networking software and services for computer game development, most notably for the Call of Duty on-line game franchise. The company were acquired by US game publisher Activision Blizzard in 2007 and have offices in Dublin, Vancouver and Shanghai.

Due to the complexity of the works and the fact that the offices would remain LIVE through the refurbishment, the project was bid on a 2-stage basis with an open tender process to identify two preferred bidders followed by a post-tender interview process to select their final fitout partner. A large part of the Client Team’s decision making process also centered on input and commentary from the Contractor into the initial scheme design with recommendations on buildability and value engineering. We were suitably delighted to win out at interview stage and be appointed as Demonware’s contractor of choice – with us on board, planning for their new European HQ officially kicked-off led by international architects, Urban Agency.

The scope of works included segregation of the existing floor plate into Live / Under-Construction areas, the complete strip of the demised floor areas, full M&E, IT and A/V installation, a bespoke fabricated solution for Meeting Rooms (made from curved glass pods) and Team Huddle Rooms (machined birch faced plywood), full soft & hard flooring, extensive graphics package and the management & supervision of the Client’s furniture vendors. Of further note was the fact that the project was completed with the Client in full occupation on the 5th Floor of a multi-tenanted building.

The finished project is a fabulous addition to our portfolio of works and is a job that we are very proud to have been involved with.","1,800m2","4-week Pre-construction
14 weeks on-site","Sonica PM
Full design realisation and co-ordination with International Design Team
Staff migration & move management
Full M&E and IT installations
Turnkey furniture package
Curved glass huddle rooms
Birch-faced plywood huddle pods
Exposed building structure & ceiling
Corporate signage & brand identity","I just want take a breath to let you know how happy we've been so far with how the build is being managed by your Team and with the quality of the work that is being done. Harry, Doug and Ray have been a pleasure to work with throughout these past 14 weeks. What could have been a very stressful experience for us, has turned out to be an education in how a professional renovation should run. Thanks to you and your Team for this.","Amy Smith, Business Services Manager, Demonware"
Hubspot,Dublin 1,"We had the tremendous fortune to meet with and work alongside our friends in Hubspot when our MD PM’d their very first Dublin office for just 8-people five short years ago.  Since then, we’ve had the distinct honour to be part of their expansion year-on-year as the Sonica Team continued to service their ever increasing head count and office space requirements.  Their growth in Dublin has been simply astounding. 
It is therefore with great pride, and shared enthusiasm for their continued future successes, that we announce the completion and launch of their new EMEA HQ in Dublin, which was opened in March 2016 with substantial (and well deserved) fanfare across the Irish media.

We look forward to working with Hubspot as their PM of choice here in Dublin, and wish them every good fortune in their fabulous new home.  #HubSpotDigsDublin
","2,750m2","12 weeks Design Co-ordination, Contract Formulation & Lease Management
10 weeks Build Management On-Site","Sonica PM
Full Design Realisation and Co-ordination with International Design Team
Landlord Approval and Grant of Licence to Alter
Local Design Team Appointment & Management as Lead Consultant
Complete Project Financial Control & Package Management
Client Direct Vendor Engagement and Management
Staff Migration & Move Management","Sonica has been a phenomenal partner to HubSpot - they always keep our interests front-and-centre and are beyond timely and thorough. If you wanted a partner that can do it all and give the attention these complex fitout projects command, it is Sonica Fitout - they simply get it, and get results.","Ken Papa, Facilities Director, Hubspot Inc."
Private Client,Dublin 2,"Our brief was to strip and refit the old Anglo Irish Bank space over two floors in St. Stephen’s Green House and transform it into an expansive, sophisticated, tech-savvy office for our Client’s expanded new HQ in Ireland.

Works were executed on a 10-week programme within a fully engaged, heavily trafficked, multi-tenanted building. With it’s location in the heart of Dublin’s shopping district on the iconic St. Stephen’s Green, the delivery of the finished project on an accelerated timeline formed a hugely important part of our project execution plan where the delivery / collection logistics, overall traffic management, DCC liaison, out of hours works scheduling and compliance with strict building noise restrictions all required in-depth consideration.

The Architectural Design included a substantial joinery package, multiple floor finishes, open grid exposed ceilings, extensive Client direct vend supervision and migration management. Other packages included substantial upgrades to the Mechanical, Electrical, IT and AV installations with all service works demanding a high level of co-ordinated attention to guarantee that the vision for the completed space was realised.","3,000m2","1-week Pre-construction
10 weeks on-site","Large open plan spaces with extensive perimeter cellularisation.
Extensive M&E & IT package with “open grid” M&E ceiling services
Engagement of specialist contractors to facilitate works in a time restricted programme.
Co-ordination with local teams and stakeholders on relocation deliverables.
Cost and VE development to suit strict budget parameters.",,
UDG Healthcare,Citywest Business Campus,"Designed by RKD Interiors, our brief took the assignment from an Existing Landlord CAT-A area over 2-separate tenancies, both of which were then fully stripped back to basic shell and core structure as part of our works, to become UDG Healthcare’s Corporate HQ within a 10-week period from Commencement on site.

Works were performed unobtrusively within a fully engaged, highly trafficked, multi-tenanted building with close overlap to Campus Management, Client Stakeholders and neighbouring tenants.

Packages encompassed a sizeable stylish joinery element and complex Mechanical, Electrical & IT upgrades to service the open-plan work-space areas and segmental modular offices & meeting rooms. The main Reception features an inviting design element luring to a quirky ‘Breakout Area Canteen’ with feature brick internal facades, critall glazed screens, floating ‘wooden’ acoustic ceilings and matchless tiled flooring.

Due to the nature and scale of the sharp trapezoidal shaped walls and ceilings, paired with the diverging display of flooring and wall colours, the detailing in the Architectural packages required a Sonica level of attention to guarantee that the Architects vision for the completed space was realised.","1,250m2","1-week Pre-Con
10 weeks on site","Design and VE development to suit strict budget parameters
Comms room commissioned and complete 3 weeks before handover to allow Client IT access
Liaison and management of Client Direct vendors
Project acceleration to ensure no client ‘down-time’ and smooth, quick turn-around on staff migrations
Co-ordination with local Team on relocation deliverables
M&E and IT upgrades throughout
Turnkey furniture package","It was great to work with Hugh Ward and his team at Sonica Fitout on our new HQ in Riverwalk, Citywest. We were very impressed with the level of professionalism and attention to detail on every aspect of this project which produced a high standard of finish. Sonica Fitouts commitment to this project ensured that it came in on programme and within budget. Everyone is delighted with the final result.","Donal Burke, Head of Procurement"
3 Arena,"North Wall Quay, Dublin 1","Full D&B project from receipt of Client outline brief to final delivery and handover. Development of a central defined theme to roll out across the complete rebrand project was the key deliverable.

1672 individual ceiling suspended “Cities” in the 4th floor bar, over 2,400 individually controlled LED lights per City (and that’s just one area on one floor..!)

3m dia. “Oculus” video back-projected onto VIP ceiling – video specifically commissioned for the Kaleidoscope Bar fitout.

Fully programmable KNX Lighting system with user defined colour and dimming set points depending on event and scene setting requirements. This linked back to main venue DALI system for central control by Venue management.

Fully interactive Twitter feed linked to feature “floating Megalopolis” to allow visitors Tweet their venue experiences directly into the bars in real time.",4000m2 overall Venue Area. Works spread across three separate project sites running concurrently.,8 weeks on site,"Conceptual development and full project design
GMP Contract Sum
Intricate project programming
Live venue interaction & co-ordination","Have to say it looks absolutely incredible. Proud to have worked on such a prestigious project for such a prestigious company as
Sonica Fitout. From all at Devlin in Design. Congratulations to Sonica.","Enda Devlin, Devlin in Design"
Salesforce,"Central Park, Dublin 18","Salesforce is the world’s leading CRM software and enterprise cloud ecosystem, their “Customer Success Platform” helps businesses grow into a more streamlined, effective and efficient organisations across sales, service, marketing and more.

The Sonica Ops Team has had the pleasure of being part of SFDC’s expansion by servicing their ever increasing head count and office space requirements for the past 3-years.  It is therefore with great pride that we showcase the latest SFDC office completion, a 15,000 sq.ft. floor plate in Central Park.

Works involved the demolition and strip out of the previous tenant’s existing fitted offices to cater for the new Salesforce remodelled floor plate layout.  The office design placed emphasis on increased Team collaboration with all new open plan workstations, meeting rooms, offices, boardrooms, flexible spaces, staff kitchens & canteen areas, breakout areas and a number of bespoke “TechForce Bars” all part of the required brief.

They have since been voted Ireland’s Best Workplace – the company was ranked No. 1 on the list of the Best Large Places to Work, a ranking based on employees’ own assessments of their experiences.
",1500m2,"10 weeks Design Co-ordination, Procurement, GMP Formulation
12 weeks Build Management On-Site","Full GMP Build Delivery
Extensive Feature Joinery Package procurement
Complete staff auditorium with extensive A/V
Client Direct Vendor Engagement and Management
Staff Migration & Move Management","Just a little note to say a BIG thank you to you and all the Sonica team. It was a real pleasure working with you all. Thanks for your guidance, assistance and patience! Fingers crossed for the next one.","Cathy Mooney, Senior Office Manager"
Wipro,Ballsbridge,"Since entering the Irish market in 2015, WIPRO have gone from strength to strength securing substantial projects for their ever increasing Client base. This success has been met with a rapid increase in head count and exponential office space requirement.

Having already completed over 50k sq.ft. of office space in Dublin for WIPRO since 2015, we were delighted to build upon and advance the great working relationship we had developed with both their International and Local Teams when they appointed us again as their Turnkey D&B Fitout Specialist for their new expansion offices in Ballsbridge.

Works were undertaken in a multi-tenanted office development with continual intensive daily co-ordination with the sitting Campus Management Team. Added to the time sensitive nature of the project was the Client’s “not-to-exceed” occupation date which was a key consideration in our aggressive construction programme.

Due to the high degree of cellularisation to form the various offices, meeting spaces, VC Rooms & Executive Boardrooms, the mechanical scope required considerable addition to the primary Landlord ventilation provisions via. intensive upgrades, modelling and building control integration.

The project scope also included a large specialist joinery component, exposed ceilings and feature lighting throughout, feature hard and soft floorings, substantial active IT solution, a fully redundant IT backbone install with UPS back up to main comms room, high-end Corporate level access control and security install, A/V delivery and a full furniture installation across the complete floor plate.",1000m2,"1-week Pre-construction
8 weeks on-site","Sonica PM
Full Design Realisation and Co-ordination with International Design Team
Landlord Approval and Grant of Licence to Alter
Local Design Team Appointment & Management as Lead Consultant
Complete Project Financial Control & Package Management
Client Direct Vendor Engagement and Management
Staff Migration & Move Management",,
Private Client,Dublin 2,"Sonica Fitout were contracted to completely refurbish the Ground Floor lobby of the headquarters of one of Ireland’s leading providers of wealth management and financial advisory services. Clients of this prestigious private client are used to a meticulous attention to detail and as such this was reflected in the design and level of finish expected.

The intent was to provide enclosed, private areas throughout the space with which to hold impromptu, private meetings while maintaining a bright, open and modern feel throughout. Combined with the extremely well-appointed joinery package the overall feel of the space was one of practical opulence and luxury.

The scope of works was a complete refurbishment with curved recessed bulkheads all LED backlit, stone tiling throughout, new security gates and curved glazed meeting rooms all surrounding the walnut clad lift core that integrated seamlessly with an oversized reception desk. In addition new bathroom and kitchen facilities were completed as well as all new air conditioning throughout the floor.

Following a week’s pre construction this project was delivered in 5 weeks over multiple phases keeping live access available to staff members 24 hours a day 7 days a week with minimal disruption.",Reception areas,"1-week Pre-Con
5 weeks on site","Natural Stone floor
Bespoke Walnut wall cladding
Curved glazed partitions throughout
Oversized feature reception desk
Backlit feature ceilings throughout
New staff “speedlanes”
New facilities
Completely revamped AC system.",,
